I2SKSBImpression 2 XS CM IQ SUN 1.60 BN       20140401        3110010012159701304050100010000011010140000000000101155                   000000
I2SKSGImpr. 2 XS CM IQ CO SUN 1.60 GN         20140401        3110010012159701304050100010000011010140000000000101239                   000000
I2SKSNImpression 2 XS CM IQ SUN 1.60 GN       20140401        3110010012159701304050100010000011010140000000000101197                   000000
I2SKSOImpr. 2 XS CM IQ CO SUN 1.60 OR         20140401        3110010012159701304050100010000011010140000000000101260                   000000
I2SKSRImpr. 2 XS CM IQ CO SUN 1.60 BN         20140401        3110010012159701304050100010000011010140000000000101218                   000000
I2SKSYImpression 2 XS CM IQ SUN 1.60 GY       20140401        3110010012159701304050100010000011010140000000000101176                   000000
I2SP  Impression 2 XS 1.50                    20130401        3110010012150201325820100000000011010135000000000121310                   000000
I2SPNBImpression 2 XS CM IQ 1.54 BN           20130401        3110010012153801214630100010000011010140000000000121276                   000000
I2SPNYImpression 2 XS CM IQ 1.54 GY           20130401        3110010012153801214630100010000011010140000000000121289                   000000
I2SS  Impression 2 XS Silikat 1.60            20130401        3110010011160402674380100000000011010133000000000121912                   000000
I2SSCGImpression 2 XS Silikat CM 1.60 grey    20130401        3110010011160402754280100010000011010135000000000121929                   300000
I2SSCHImpression 2 XS Silikat CM 1.60 brown   20130401        3110010011160402754280100010000011010135000000000121928                   300000
I2VG  Impression 2 V 1.74                     20130401        3110010012174001473250100000000011010100000000000121008                   000000
I2VH  Impression 2 V 1.67                     20130401        3110010012166801353140100000000011010138000000000121023                   000000
I2VHNBImpression 2 V CM IQ 1.67 BN            20130401        3110010012166801373140100010000011010140000000000121045                   300000
I2VHNYImpression 2 V CM IQ 1.67 GY            20130401        3110010012166801373140100010000011010140000000000121069                   300000
I2VK  Impression 2 V 1.60                     20130401        3110010012159701304050100000000011010138000000000121307                   000000
I2VKNBImpression 2 V CM IQ 1.60 BN            20130401        3110010012159701304050100010000011010140000000000121093                   000000
I2VKNGImpression 2 V CM IQ CO 1.60 GN         20130401201403313110010012159701304050100010000011010140000000000101832                   000000
I2VKNNImpression 2 V CM IQ 1.60 GN            20130401        3110010012159701304050100010000011010140000000000121135                   000000
I2VKNOImpression 2 V CM IQ CO 1.60 OR         20130401201403313110010012159701304050100010000011010140000000000101833                   000000
I2VKNYImpression 2 V CM IQ 1.60 GY            20130401        3110010012159701304050100010000011010140000000000121114                   000000
I2VKSBImpression 2 V CM IQ SUN 1.60 BN        20140401        3110010012159701304050100010000011010140000000000101156                   000000
I2VKSGImpr. 2 V CM IQ CO SUN 1.60 GN          20140401        3110010012159701304050100010000011010140000000000101240                   000000
