I2SH  Impr. 2 XS 1.67                         20130401        3110010012166801353140100000000011010138000000000121025                   000000
I2SHNBImpr. 2 XS CM IQ 1.67 BN                20130401        3110010012166801373140100010000011010140000000000121050                   300000
I2SHNYImpr. 2 XS CM IQ 1.67 GY                20130401        3110010012166801373140100010000011010140000000000121079                   300000
I2SK  Impr. 2 XS 1.60                         20130401        3110010012159701304050100000000011010138000000000121402                   000000
I2SKNBImpr. 2 XS CM IQ 1.60 BN                20130401        3110010012159701304050100010000011010140000000000121122                   000000
I2SKNGImpression 2 XS CM IQ CO 1.60 GN        20130401201403313110010012159701304050100010000011010140000000000101045                   000000
I2SKNNImpr. 2 XS CM IQ 1.60 GN                20130401        3110010012159701304050100010000011010140000000000121188                   000000
I2SKNOImpression 2 XS CM IQ CO 1.60 OR        20130401201403313110010012159701304050100010000011010140000000000101048                   000000
I2SKNYImpr. 2 XS CM IQ 1.60 GY                20130401        3110010012159701304050100010000011010140000000000121167                   000000
I2SKPBImpr. 2 XS POL 1.60 BN                  20150401        3110010012159701304200100200000011010340000000000121121                   001000
I2SKPGImpr. 2 XS POL 1.60 GY                  20150401        3110010012159701304200100200000011010340000000000121120                   001000
I2SKPNImpr. 2 XS POL 1.60 GN                  20150401        3110010012159701304200100200000011010340000000000121119                   001000
I2SKSBImpr. 2 XS CM IQ SUN 1.60 BN            20140401        3110010012159701304050100010000011010140000000000101212                   000000
I2SKSGImpr. 2 XS CM IQ CO SUN 1.60 GN         20140401        3110010012159701304050100010000011010340000000000101320                   000100
I2SKSNImpr. 2 XS CM IQ SUN 1.60 GN            20140401        3110010012159701304050100010000011010140000000000101272                   000000
I2SKSOImpr. 2 XS CM IQ CO SUN 1.60 OR         20140401        3110010012159701304050100010000011010240000000000101341                   000100
I2SKSRImpr. 2 XS CM IQ CO SUN 1.60 BN         20140401        3110010012159701304050100010000011010240000000000101293                   000100
I2SKSYImpr. 2 XS CM IQ SUN 1.60 GY            20140401        3110010012159701304050100010000011010140000000000101251                   000000
I2SP  Impr. 2 XS 1.50                         20130401        3110010012150201325820100000000011010135000000000121406                   000000
I2SPNBImpr. 2 XS CM IQ 1.54 BN                20130401        3110010012153801214630100010000011010140000000000121366                   000000
I2SPNYImpr. 2 XS CM IQ 1.54 GY                20130401        3110010012153801214630100010000011010140000000000121385                   000000
I2SS  Impression 2 XS Silikat 1.60            20130401        3110010011160402674380100000000011010133000000000121126                   000000
I2SSCGImpression 2 XS Silikat CM 1.60 grey    20130401        3110010011160402754280100010000011010135000000000121143                   300000
I2SSCHImpression 2 XS Silikat CM 1.60 brown   20130401        3110010011160402754280100010000011010135000000000121142                   300000
I2VG  Impr. 2 V 1.74                          20130401        3110010012173701473250100000000011010100000000000121008                   000000
I2VH  Impr. 2 V 1.67                          20130401        3110010012166801353140100000000011010138000000000121026                   000000
I2VHNBImpr. 2 V CM IQ 1.67 BN                 20130401        3110010012166801373140100010000011010140000000000121051                   300000
I2VHNYImpr. 2 V CM IQ 1.67 GY                 20130401        3110010012166801373140100010000011010140000000000121080                   300000
I2VK  Impr. 2 V 1.60                          20130401        3110010012159701304050100000000011010138000000000121403                   000000
I2VKNBImpr. 2 V CM IQ 1.60 BN                 20130401        3110010012159701304050100010000011010140000000000121126                   000000
I2VKNGImpression 2 V CM IQ CO 1.60 GN         20130401201403313110010012159701304050100010000011010140000000000101046                   000000
I2VKNNImpr. 2 V CM IQ 1.60 GN                 20130401        3110010012159701304050100010000011010140000000000121189                   000000
I2VKNOImpression 2 V CM IQ CO 1.60 OR         20130401201403313110010012159701304050100010000011010140000000000101047                   000000
I2VKNYImpr. 2 V CM IQ 1.60 GY                 20130401        3110010012159701304050100010000011010140000000000121168                   000000
I2VKPBImpr. 2 V POL 1.60 BN                   20150401        3110010012159701304200100200000011010340000000000121125                   001000
I2VKPGImpr. 2 V POL 1.60 GY                   20150401        3110010012159701304200100200000011010340000000000121124                   001000
I2VKPNImpr. 2 V POL 1.60 GN                   20150401        3110010012159701304200100200000011010340000000000121123                   001000
I2VKSBImpr. 2 V CM IQ SUN 1.60 BN             20140401        3110010012159701304050100010000011010140000000000101213                   000000
I2VKSGImpr. 2 V CM IQ CO SUN 1.60 GN          20140401        3110010012159701304050100010000011010340000000000101321                   000100
I2VKSNImpr. 2 V CM IQ SUN 1.60 GN             20140401        3110010012159701304050100010000011010140000000000101273                   000000
I2VKSOImpr. 2 V CM IQ CO SUN 1.60 OR          20140401        3110010012159701304050100010000011010240000000000101342                   000100
I2VKSRImpr. 2 V CM IQ CO SUN 1.60 BN          20140401        3110010012159701304050100010000011010240000000000101294                   000100
I2VKSYImpr. 2 V CM IQ SUN 1.60 GY             20140401        3110010012159701304050100010000011010140000000000101252                   000000
I2VP  Impr. 2 V 1.50                          20130401        3110010012150201325820100000000011010135000000000121407                   000000
I2VPNBImpr. 2 V CM IQ 1.54 BN                 20130401        3110010012153801214630100010000011010140000000000121367                   000000
I2VPNYImpr. 2 V CM IQ 1.54 GY                 20130401        3110010012153801214630100010000011010140000000000121386                   000000
I2VS  Impression 2 V Silikat 1.6              20130401        3110010011160402674380100000000011010133000000000121128                   000000
I2VSCGImpression 2 V Silikat CM 1.60 grey     20130401        3110010011160402754280100010000011010135000000000121145                   300000
I2VSCHImpression 2 V Silikat CM 1.60 brown    20130401        3110010011160402754280100010000011010135000000000121144                   300000
I3FG  Impr. FS 3 1.74                         20140915        3110010012173701473250100000000011010100000000000121000                   000000
I3FH  Impr. FS 3 1.67                         20140915        3110010012166801373140100000000011010100000000000121018                   000000
I3FHNBImpr. FS 3 CM IQ 1.67 BN                20140915        3110010012166801373140100010000011010140000000000121043                   000000
I3FHNYImpr. FS 3 CM IQ 1.67 GY                20140915        3110010012166801373140100010000011010140000000000121072                   000000
I3FK  Impr. FS 3 1.60                         20140915        3110010012159701304050100000000011010138000000000121396                   000000
